arm,feed,spearman,auroc,map10,n_pairs,n_queries,spearman_far,n_far,spearman_mid,n_mid,spearman_high,n_high,rmse_high,rmse_all,seed
reg-band,3Di,0.9312014767005427,0.9930529072785247,0.492008275772685,3692,347,0.386187153788789,1200,0.6650996648444507,1268,0.8406845791137918,1224,0.0741185837690076,0.18932680990282302,1
reg-band,SS,0.9653167062214266,0.9919642990972577,0.4146552397916738,4000,10002,0.685254122123676,1200,0.7589305449887727,1375,0.8561300572369059,1425,0.060812379749833514,0.12984840531269407,1
reg-band,AA,0.16568106216303655,0.9998348472336911,1.0,1216,10,0.14428233485663425,1200,0.4100238428203847,11,,5,0.13060749730298582,0.2679414751202394,1
reg-flat,synth,0.9257841504090175,0.966155481917172,0.9773322136600145,3648,2410,-0.06893772279075393,848,0.5851550834368086,1595,0.8696193056209673,1205,0.11518916017768398,0.1366456351091273,1
reg-flat,3Di,0.9229141167138493,0.9933726867300134,0.522716993297479,3692,347,0.3730753829087651,1200,0.6423332066198751,1268,0.8605278398487756,1224,0.06339914012392625,0.19109877396026353,1
reg-flat,SS,0.9610272057822997,0.9912265712825754,0.42149959070292264,4000,10002,0.6184222119021003,1200,0.7482042521261284,1375,0.8696202768948215,1425,0.05597570312697239,0.13322047487345703,1
reg-flat,AA,0.14735120521831493,1.0,0.9166666666666667,1216,10,0.11939081793646174,1200,0.33257489473208984,11,,5,0.10927382066260148,0.2652661724935997,1
reg-soft,synth,0.9250374800161061,0.9673104457990735,0.972010472238688,3648,2410,-0.05358940830448633,848,0.572460441960015,1595,0.8636104309031295,1205,0.11133692105877244,0.13838451012880298,1
reg-soft,3Di,0.9166327682065053,0.9920217344095931,0.5073666575179544,3692,347,0.3331449918290544,1200,0.6310252073419027,1268,0.8513775171780548,1224,0.06983501154303487,0.1988281163182879,1
reg-soft,SS,0.9616388780447424,0.9914486799523079,0.4194316969939345,4000,10002,0.6312452367494668,1200,0.7388625945399802,1375,0.8679346287354149,1425,0.06121069818904091,0.13119554553607451,1
reg-soft,AA,0.17198961818253636,1.0,0.9333333333333332,1216,10,0.14861415344116294,1200,0.41457966329616674,11,,5,0.12093149136090932,0.26719456154998983,1
clf-pool,synth,0.9246111623219636,0.9722166644303396,0.9747986234604491,3648,2410,-0.08235314728255086,848,0.5695458530474132,1595,0.8621674190553138,1205,0.12031671387684303,0.18178175342006633,2
clf-pool,3Di,0.9320445802632973,0.9901758853190116,0.47829110676184233,3692,347,0.5629168878320311,1200,0.6331635526328845,1268,0.8547068746930384,1224,0.09225598706570631,0.21644179165733718,2
clf-pool,SS,0.9362323505720886,0.96083134048714,0.3882601209664845,4000,10002,0.6729459286926417,1200,0.6581250185312334,1375,0.8281606620269437,1425,0.15985732959566318,0.2202683143832563,2
clf-pool,AA,0.1321921892563471,1.0,1.0,1216,10,0.11477795591782702,1200,0.10022805046720515,11,,5,0.10594697046622249,0.34122187112935787,2
reg-band,synth,0.9207218619173693,0.9650766097733723,0.9649438516762168,3648,2410,-0.08478208782079327,848,0.5698937431415612,1595,0.8540076461903746,1205,0.110244802645983,0.13995768096670283,2
reg-band,3Di,0.9645148397841041,0.9930635003866485,0.5299931384657609,3692,347,0.6361859910253117,1200,0.7680678484703795,1268,0.87238491768786,1224,0.08769465345583384,0.1907637842478287,2
reg-band,SS,0.9324099639464246,0.9700297734627832,0.3705930126490449,4000,10002,0.6757583607996491,1200,0.6313362109603028,1375,0.8169996677599297,1425,0.06657071436897888,0.14096952142062857,2
reg-band,AA,0.15000378870075054,0.999009083402147,0.9,1216,10,0.12555691404274688,1200,0.041002384282038465,11,,5,0.11225101403718538,0.2659703620596771,2
reg-flat,synth,0.9239877599519121,0.9658326015731288,0.967805769610749,3648,2410,-0.02752963921702972,848,0.5689409235528838,1595,0.8675656971291698,1205,0.1197979615090198,0.13608421801617143,2
reg-flat,3Di,0.9644155583977473,0.9922051275939875,0.5232422423820633,3692,347,0.6918599467769151,1200,0.7503841770207973,1268,0.8664663773825771,1224,0.07985418640066606,0.1807732201540558,2
reg-flat,SS,0.9516321753524511,0.9782043263498552,0.38306353504746266,4000,10002,0.7292428140340792,1200,0.6993037113672304,1375,0.845410288043359,1425,0.06033501032364041,0.12589040904222165,2
reg-flat,AA,0.15825486020816196,0.9996696944673823,0.9333333333333332,1216,10,0.13368995182208035,1200,0.39180056091725646,11,,5,0.1024532869983467,0.2487645553248277,2
reg-soft,synth,0.9231659318095294,0.9692015293080577,0.9661726931436475,3648,2410,-0.03391172328240941,848,0.5575530084492845,1595,0.8625103065553207,1205,0.11519428262066554,0.13807257940554835,2
reg-soft,3Di,0.9633588289473309,0.992427086312645,0.5290559799541548,3692,347,0.6801658057823052,1200,0.7519684137640898,1268,0.8627589934985002,1224,0.07753810394191199,0.17453619851285235,2
reg-soft,SS,0.9411355886811279,0.9730670754556293,0.3730435502248253,4000,10002,0.7053106896557223,1200,0.6755083924111339,1375,0.822430626761681,1425,0.07005254065256906,0.13143464362887844,2
reg-soft,AA,0.1232818594841117,0.999009083402147,0.9,1216,10,0.09804130709143344,1200,-0.173121178079718,11,,5,0.12014960680674905,0.24898266311035844,2
