arm,config,dataset,n_train,epochs,n_steps,n_params,spearman,spearman_far,spearman_mid,spearman_high,auroc,map10,rmse_high,train_loss_online,train_mse_final,spearman_sd,spearman_far_sd,spearman_mid_sd,spearman_high_sd,auroc_sd,map10_sd,rmse_high_sd,train_loss_online_sd,train_mse_final_sd
T-train-size,"N=10,000",SS,10000.0,30.0,2370.0,141184.0,0.9311392934078935,0.5239329375742837,0.6863064139851905,0.8098919251107878,0.9722122122561689,0.399776845205201,0.07275495501508321,0.0006040865884472926,0.00047241856480638184,0.0324937760330987,0.11505891514038925,0.11523224758030678,0.07493778035426064,0.03180125743907122,0.04236234444166487,0.02101224928966401,6.2002410800047894e-06,2.9142821364779705e-05
T-train-size,"N=10,000",Synth,10000.0,30.0,2370.0,141184.0,0.9052672997225013,-0.1422585946935757,0.49953873839568014,0.8383505938365419,0.9590507555671807,0.9364472326505521,0.11896907459324046,0.0006040865884472926,0.00047241856480638184,0.0012819357554497651,0.0307587451909508,0.011750516761460555,0.003490225326945332,0.002611331318608137,0.0018923019629941181,0.003827170075516348,6.2002410800047894e-06,2.9142821364779705e-05
T-train-size,"N=100,000",3Di,100000.0,30.0,23460.0,141184.0,0.9650892057739856,0.7439404435948721,0.7269691394700484,0.8694493498200458,0.991322433581355,0.5366751402681541,0.07327007789675113,0.004407518569777409,0.0040703833713134135,0.0019033022406808825,0.020481765118165816,0.02283999554692675,0.01218052649502454,0.0021922194787212124,0.023337826154024455,0.0030317210898874463,2.2817485099036456e-05,2.6242157097290984e-05
T-train-size,"N=100,000",AA,100000.0,30.0,23460.0,141184.0,0.41746250888911396,0.39868491524035815,,,1.0,1.0,0.07642599269545923,0.004407518569777409,0.0040703833713134135,0.021420038340867812,0.022152047352571272,,,0.0,0.0,0.004870307546392895,2.2817485099036456e-05,2.6242157097290984e-05
T-train-size,"N=100,000",SS,100000.0,30.0,23460.0,141184.0,0.9735133363639301,0.7910193009835055,0.8186905860614657,0.8594650332740156,0.9899523116983584,0.42274783242520053,0.05934969339653246,0.004407518569777409,0.0040703833713134135,0.0006767987590528088,0.039761685902774846,0.009702476571262959,0.0022653412874233253,0.0036129768828402705,0.011445575814447464,0.009443455112698536,2.2817485099036456e-05,2.6242157097290984e-05
T-train-size,"N=100,000",Synth,100000.0,30.0,23460.0,141184.0,0.9496037720267724,0.07494131351848711,0.6789722654755203,0.9003890274994979,0.9813775661853751,0.9993833563854312,0.10270741675244756,0.004407518569777409,0.0040703833713134135,0.0007958781612808566,0.021176467913158095,0.005286010034394535,0.0056199835803182815,0.0006502456734865016,0.0005495460068806028,0.0014834157755769788,2.2817485099036456e-05,2.6242157097290984e-05
T-train-size,"N=5,000",3Di,5000.0,30.0,1200.0,141184.0,0.9236429219652078,0.39192531145975945,0.6032270217038379,0.8541143292728361,0.9874237099852067,0.4894822311373761,0.057751987963576744,0.0003113974354773139,0.00032106970002253847,0.013883143527642835,0.1626081724054635,0.023850171001731972,0.010889713404598263,0.003925850444113899,0.034270421503926424,0.008172206636127595,4.0953850139402606e-05,0.00012146110705767934
T-train-size,"N=5,000",AA,5000.0,30.0,1200.0,141184.0,-0.06670082822079994,-0.08885747825500621,,,0.9949903660886319,0.75,0.14798640333557597,0.0003113974354773139,0.00032106970002253847,0.057951677743962614,0.05589005410677309,,,0.006367133580677507,0.08660254037844387,0.018405311549061124,4.0953850139402606e-05,0.00012146110705767934
T-train-size,"N=5,000",SS,5000.0,30.0,1200.0,141184.0,0.9350912085335779,0.664756067833658,0.6520339575965776,0.8135791138554457,0.969909996301268,0.39268258605249634,0.07101022722231175,0.0003113974354773139,0.00032106970002253847,0.036271306367123654,0.035081265674556855,0.11245794560700625,0.05805794064694306,0.03125038690640375,0.0499164889519217,0.03341221677300917,4.0953850139402606e-05,0.00012146110705767934
T-train-size,"N=5,000",Synth,5000.0,30.0,1200.0,141184.0,0.9058375898340006,-0.15705577470680024,0.4931325427380002,0.8413369416919073,0.9585871281539996,0.9422386880063228,0.12159413953797177,0.0003113974354773139,0.00032106970002253847,0.002043980129372201,0.04775375263849987,0.010112392023176648,0.00524801297064452,0.0013932228703795895,0.004521447621853496,0.0066753739728844875,4.0953850139402606e-05,0.00012146110705767934
T2-matched-steps,"N=10,000 matched",3Di,10000.0,89.0,7031.0,141184.0,0.9170898507892472,0.46433244781259747,0.5764353453178508,0.8334730985109865,0.9858481403879256,0.4664510828880597,0.05635072233786071,0.0002839578721361856,0.00023928053242464859,0.0310957346761433,0.1448733230212211,0.06883902799166745,0.029135373442276513,0.005289664014564122,0.029052200721437924,0.005515236209148592,1.669269619525778e-05,1.2946550366029119e-05
T2-matched-steps,"N=10,000 matched",AA,10000.0,89.0,7031.0,141184.0,0.03623044361414072,0.01756626073671381,,,0.9799064134324249,0.6150000000000001,0.16062168328667728,0.0002839578721361856,0.00023928053242464859,0.05463824926244245,0.052862304883827135,,,0.01256174710546485,0.20168044030098706,0.04185045255580759,1.669269619525778e-05,1.2946550366029119e-05
