arm,config,seed,dataset,protocol_sig,spearman,auroc,map10,rmse_high,n_pairs,n_queries,spearman_far,n_far,spearman_mid,n_mid,spearman_high,n_high,n_train,epochs,n_steps,n_params,train_loss_online,train_mse_final
N-no-pooling,flatten,0,SS,v2|K16|len50-200|bs128|lr0.001|ntrain30000|ep30|pair999|syn20260810|strat200000x400|rng0.3-0.7,0.8688566229833944,0.9805241587214373,0.3213660177702429,0.10294060617204241,4000.0,10002.0,0.21784667011779252,1200.0,0.5748968380992228,1397.0,0.831796216980133,1403.0,30000.0,30.0,7050.0,1648512.0,0.0003956486737666031,0.00039164408246676125
N-no-pooling,flatten,0,AA,v2|K16|len50-200|bs128|lr0.001|ntrain30000|ep30|pair999|syn20260810|strat200000x400|rng0.3-0.7,-0.12392709878746873,0.9045417010734931,0.2611111111111111,0.21054988016895343,1216.0,10.0,-0.14341811078780944,1200.0,,11.0,,5.0,30000.0,30.0,7050.0,1648512.0,0.0003956486737666031,0.00039164408246676125
N-no-pooling,flatten,1,Synth,v2|K16|len50-200|bs128|lr0.001|ntrain30000|ep30|pair999|syn20260810|strat200000x400|rng0.3-0.7,0.8549879349541858,0.9297235050436254,0.7601727260752158,0.15359528961836993,3648.0,2410.0,-0.16584909505021356,848.0,0.36201443670215366,1595.0,0.698795180227114,1205.0,30000.0,30.0,7050.0,1648512.0,0.0003835425556326906,0.0003638608694076538
N-no-pooling,flatten,1,3Di,v2|K16|len50-200|bs128|lr0.001|ntrain30000|ep30|pair999|syn20260810|strat200000x400|rng0.3-0.7,0.8681652255849953,0.9893570686156434,0.46621024122104815,0.054211337672804234,3699.0,347.0,0.06364567961380513,1200.0,0.6042559086128013,1274.0,0.8559885963409583,1225.0,30000.0,30.0,7050.0,1648512.0,0.0003835425556326906,0.0003638608694076538
N-no-pooling,flatten,1,SS,v2|K16|len50-200|bs128|lr0.001|ntrain30000|ep30|pair999|syn20260810|strat200000x400|rng0.3-0.7,0.8231958624382392,0.9786980756072787,0.36493600341408156,0.072846243480486,4000.0,10002.0,-0.043447148902112966,1200.0,0.5325206342571374,1397.0,0.7968316185117377,1403.0,30000.0,30.0,7050.0,1648512.0,0.0003835425556326906,0.0003638608694076538
N-no-pooling,flatten,1,AA,v2|K16|len50-200|bs128|lr0.001|ntrain30000|ep30|pair999|syn20260810|strat200000x400|rng0.3-0.7,-0.09086546549459779,0.936581337737407,0.4,0.19452624903568505,1216.0,10.0,-0.10786378835588026,1200.0,,11.0,,5.0,30000.0,30.0,7050.0,1648512.0,0.0003835425556326906,0.0003638608694076538
N-no-pooling,flatten,2,Synth,v2|K16|len50-200|bs128|lr0.001|ntrain30000|ep30|pair999|syn20260810|strat200000x400|rng0.3-0.7,0.8571443341008071,0.9257738682627814,0.763791576104854,0.1537169086212055,3648.0,2410.0,-0.08077052810644239,848.0,0.37985159918267086,1595.0,0.7308706886290285,1205.0,30000.0,30.0,7050.0,1648512.0,0.00036623337712759775,0.0003794539767007033
N-no-pooling,flatten,2,3Di,v2|K16|len50-200|bs128|lr0.001|ntrain30000|ep30|pair999|syn20260810|strat200000x400|rng0.3-0.7,0.9110094443267376,0.9933176051342121,0.5137331552057262,0.04457559532320293,3699.0,347.0,0.39045162513737514,1200.0,0.6551294451112647,1274.0,0.8842803549491713,1225.0,30000.0,30.0,7050.0,1648512.0,0.00036623337712759775,0.0003794539767007033
N-no-pooling,flatten,2,SS,v2|K16|len50-200|bs128|lr0.001|ntrain30000|ep30|pair999|syn20260810|strat200000x400|rng0.3-0.7,0.7129581678398565,0.8135677138295708,0.25934047618228934,0.2804006988857796,4000.0,10002.0,0.584689465949114,1200.0,0.3938579619489913,1397.0,0.472389158052184,1403.0,30000.0,30.0,7050.0,1648512.0,0.00036623337712759775,0.0003794539767007033
N-no-pooling,flatten,2,AA,v2|K16|len50-200|bs128|lr0.001|ntrain30000|ep30|pair999|syn20260810|strat200000x400|rng0.3-0.7,-0.08432424009867334,0.9459950454170107,0.5,0.1819997661226047,1216.0,10.0,-0.10607735929701177,1200.0,,11.0,,5.0,30000.0,30.0,7050.0,1648512.0,0.00036623337712759775,0.0003794539767007033
T-train-size,"N=5,000",0,Synth,v2|K16|len50-200|bs128|lr0.001|ntrain30000|ep30|pair999|syn20260810|strat200000x400|rng0.3-0.7,0.9034845833296513,0.9588238391339129,0.9403235526575776,0.11875959291057099,3648.0,2410.0,-0.2034021333596469,848.0,0.4895075392835565,1595.0,0.839232700527706,1205.0,5000.0,30.0,1200.0,141184.0,0.0002677556202514097,0.00018735925704240798
T-train-size,"N=5,000",0,3Di,v2|K16|len50-200|bs128|lr0.001|ntrain30000|ep30|pair999|syn20260810|strat200000x400|rng0.3-0.7,0.9263020551046974,0.9833557157705443,0.45001357739701714,0.0611595627322792,3699.0,347.0,0.4338872534429928,1200.0,0.5845124773548769,1274.0,0.849853046544623,1225.0,5000.0,30.0,1200.0,141184.0,0.0002677556202514097,0.00018735925704240798
T-train-size,"N=5,000",0,SS,v2|K16|len50-200|bs128|lr0.001|ntrain30000|ep30|pair999|syn20260810|strat200000x400|rng0.3-0.7,0.9633780273708541,0.9926221137334019,0.4415811075785599,0.053220182092246965,4000.0,10002.0,0.6322956944126777,1200.0,0.7582938968604773,1397.0,0.8552097248218595,1403.0,5000.0,30.0,1200.0,141184.0,0.0002677556202514097,0.00018735925704240798
T-train-size,"N=5,000",0,AA,v2|K16|len50-200|bs128|lr0.001|ntrain30000|ep30|pair999|syn20260810|strat200000x400|rng0.3-0.7,-0.11301223772634536,0.9998348472336911,0.8,0.12804520755855772,1216.0,10.0,-0.13209231667072116,1200.0,,11.0,,5.0,5000.0,30.0,1200.0,141184.0,0.0002677556202514097,0.00018735925704240798
T-train-size,"N=5,000",1,Synth,v2|K16|len50-200|bs128|lr0.001|ntrain30000|ep30|pair999|syn20260810|strat200000x400|rng0.3-0.7,0.9068547975679206,0.9598468314075443,0.9474025225581243,0.11680378635351026,3648.0,2410.0,-0.1597559826880974,848.0,0.4853322933035171,1595.0,0.8473105221165967,1205.0,5000.0,30.0,1200.0,141184.0,0.0003489905279129744,0.0003512651532888412
T-train-size,"N=5,000",1,3Di,v2|K16|len50-200|bs128|lr0.001|ntrain30000|ep30|pair999|syn20260810|strat200000x400|rng0.3-0.7,0.9086225397726091,0.9911900087439988,0.5067405089370576,0.06366898052292842,3699.0,347.0,0.21244886954928102,1200.0,0.6300815802156319,1274.0,0.8459996321766008,1225.0,5000.0,30.0,1200.0,141184.0,0.0003489905279129744,0.0003512651532888412
